Record ID,region,PopulationServed (Q5),PublicorPrivate (Q6),PublicOwned (Q8),PublicOwned (Q8SPECIFIED_4),Private (Q9),Private (Q9SPECIFIED_5),CorporatehealthsystemSupport (Q10),ServicesProvided (Q11_1),ServicesProvided (Q11_2),ServicesProvided (Q11_3),ServicesProvided (Q11_4),Compensation (Q89),VolunteerStaffCompensation (Q14_1),VolunteerStaffCompensation (Q14_2),VolunteerStaffCompensation (Q14_3),VolunteerStaffCompensation (Q14_4),VolunteerStaffCompensation (Q14_5),VolunteerStaffCompensation (Q14SPECIFIED_4),UsingEMRs (Q15),CompensationEMSstaff (Q16),WorkforceSustainability (Q76),ActiveStaff (Q18),RecruitmentPlan (Q19),RecruitmentofNewStaff (Q20),CrossTraining (Q21),Obstacles (Q22_1),Obstacles (Q22_2),Obstacles (Q22_3),Obstacles (Q22_4),Obstacles (Q22_5),Obstacles (Q22_6),Obstacles (Q22_7),Obstacles (Q22_8),Obstacles (Q22_9),Obstacles (Q22_10),Obstacles (Q22_11),Obstacles (Q22_12),Obstacles (Q22SPECIFIED_12),RetentionStrategy (Q23),ExistingStaff (Q24),Obstacles (Q25_1),Obstacles (Q25_2),Obstacles (Q25_3),Obstacles (Q25_4),Obstacles (Q25_5),Obstacles (Q25_6),Obstacles (Q25_7),Obstacles (Q25_8),Obstacles (Q25_9),Obstacles (Q25_10),Obstacles (Q25_11),Obstacles (Q25_12),Obstacles (Q25_13),Obstacles (Q25_14),Obstacles (Q25SPECIFIED_14),Leadership (Q26),Managers (Q27),DifficultyManaging (Q28_1),DifficultyManaging (Q28_2),DifficultyManaging (Q28_3),DifficultyManaging (Q28_4),DifficultyManaging (Q28_5),DifficultyManaging (Q28_6),DifficultyManaging (Q28_7),DifficultyManaging (Q28_8),DifficultyManaging (Q28_9),DifficultyManaging (Q28_10),DifficultyManaging (Q28_11),DifficultyManaging (Q28_12),DifficultyManaging (Q28_13),DifficultyManaging (Q28_14),DifficultyManaging (Q28_15),PercentageofShifts (Q30),Shifts (Q31_A_1),Shifts (Q31_A_2),Shifts (Q31_A_3),Shifts (Q31_A_4),Shifts (Q31_A_5),Shifts (Q31_A_6),Shifts (Q31_A_7),Shifts (Q31_A_8),Shifts (Q31_A_9),Shifts (Q31_A_10),Shifts (Q31_A_11),Shifts (Q31_A_12)
635997862178117422,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,-,-,Part-time advanced life support,-,Paid; hourly wage or salary,-,-,-,-,-,NA,No,Same,No,Size of the active staff has not changed,Yes,Yes,No,-,-,Lack of trained candidates,-,-,-,Inadequate pay or benefits,-,-,-,-,-,NA,Yes,Sometimes,-,Excessive time commitment or scheduling conflicts,-,Inadequate pay or benefits,Limited advancement opportunities,-,Community is too isolated,-,-,-,-,-,-,-,NA,Yes,No,Recruitment,-,-,-,Staffing the schedule,-,Continuing education requirements for staff,-,-,-,-,-,Policy development and enforcement,-,-,75-99%,-,Weekends,-,-,Weekends,-,-,-,-,-,-,-
635996161746863705,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,-,Advanced life support,-,-,Paid; hourly wage or salary,-,-,-,-,-,NA,No,Unknown,Yes,Size of the active staff has not changed,No,No,No,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,Age: Older crew members retiring,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None of the above,75-99%,-,-,-,-,-,-,-,-,-,-,-,-
635997880710240455,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,-,Advanced life support,-,-,Paid; hourly wage or salary,-,-,-,-,-,NA,No,Unknown,Yes,Size of the active staff has not changed,Yes,No,No,-,Lack of availability,Lack of trained candidates,-,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,Age: Older crew members retiring,-,-,-,Limited advancement opportunities,-,-,-,-,-,-,-,-,Other (please specify),Many staff work at mulitple EMS Services. Some staff are move or change places of employment frequently when reviewing employment applications.,Yes,No,-,-,Budget development,-,-,Medical direction,Continuing education requirements for staff,Maintaining equipment,Billing and reimbursement,-,-,Maintaining updated technology,Policy development and enforcement,-,-,75-99%,-,-,-,-,-,-,-,-,-,-,-,-
635996102482619878,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,Basic life support,Advanced life support,Part-time advanced life support,Specialized life support,Paid; hourly wage or salary,-,-,-,-,-,NA,No,Same,Yes,Size of the active staff has not changed,Yes,Somewhat,NA,-,-,-,-,Training programs are too expensive,Training programs are too far away,-,-,-,-,-,-,NA,Yes,Sometimes,-,-,-,-,Limited advancement opportunities,-,-,-,-,-,-,-,-,-,NA,Yes,No,-,-,-,Managing staff,-,-,-,-,-,-,-,-,-,-,-,75-99%,-,-,-,-,-,-,-,-,-,-,-,-
635997859643866234,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,Basic life support,Advanced life support,Part-time advanced life support,Specialized life support,Paid; hourly wage or salary,-,-,-,-,-,NA,No,Same,Yes,Size of the active staff has not changed,Yes,Somewhat,Yes,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,-,-,-,-,Limited advancement opportunities,-,-,-,-,-,-,-,-,-,NA,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None of the above,75-99%,-,-,-,-,-,-,-,-,-,-,-,-
636003848115121474,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Non-profit,NA,Yes,Basic life support,Advanced life support,-,-,Paid; hourly wage or salary,Staff are paid a stipend while on-call,Staff are paid by the hour on a run,-,-,-,NA,No,Better,Yes,Increased,Yes,Somewhat,No,-,-,Lack of trained candidates,-,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,Age: Older crew members retiring,-,-,-,Limited advancement opportunities,-,-,-,-,-,-,-,-,-,NA,Yes,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None of the above,100%,-,-,-,-,-,-,-,-,-,-,-,-
635996100658346435,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Non-profit,NA,Yes,-,Advanced life support,-,-,Paid; hourly wage or salary,-,-,-,-,-,NA,No,Better,Yes,Size of the active staff has not changed,Yes,No,No,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,-,Excessive time commitment or scheduling conflicts,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,No,-,-,-,Managing staff,-,-,-,-,Billing and reimbursement,-,-,-,Policy development and enforcement,-,-,100%,-,Weekends,-,-,Weekends,-,-,Weekends,-,-,-,-
635984995664377700,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,-,Advanced life support,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,-,-,-,-,NA,No,Same,Yes,Size of the active staff has not changed,NA,Yes,Yes,-,-,Lack of trained candidates,-,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,-,Excessive time commitment or scheduling conflicts,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,No,Recruitment,-,-,-,-,-,-,-,Billing and reimbursement,-,-,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-
635986608124536524,Central,"2,500 – 4,999","Public owned or operated (e.g. city, county authority or joint powers board)",Stand-alone city or county based ambulance service,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,Staff are paid a stipend while on-call,Staff are paid by the hour on a run,-,-,-,NA,No,Worse,No,Decreased,No,Yes,Yes,Lack of interest,Lack of availability,-,-,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,Age: Older crew members retiring,-,-,Inadequate pay or benefits,-,-,-,Employer does not allow staff to leave work for a call,-,-,-,-,-,-,NA,No,No,Recruitment,Retention,-,Managing staff,-,-,Continuing education requirements for staff,-,-,-,-,Maintaining updated technology,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-
635996997415651302,Central,"10,000 – 14,999","Public owned or operated (e.g. city, county authority or joint powers board)",Stand-alone city or county based ambulance service,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,Staff are paid a stipend while on-call,Staff are paid by the hour on a run,-,-,-,NA,No,Same,Yes,Decreased,Yes,Yes,No,-,-,-,Training programs are too time consuming,Training programs are too expensive,Training programs are too far away,-,-,-,Time commitment is too great,-,-,NA,Yes,Sometimes,Age: Older crew members retiring,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,No,Recruitment,-,-,Managing staff,-,-,Continuing education requirements for staff,-,-,Licensing requirements for the ambulance,Certification requirements for the staff,-,Policy development and enforcement,-,-,100%,-,-,-,-,-,-,-,-,-,Weekdays,-,-
635997975946881680,Central,"Less than 2,500","Public owned or operated (e.g. city, county authority or joint powers board)",Stand-alone city or county based ambulance service,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,Staff are paid by the hour on a run,-,-,-,NA,No,Worse,Yes,Decreased,No,Somewhat,Yes,Lack of interest,-,Lack of trained candidates,Training programs are too time consuming,-,-,Inadequate pay or benefits,-,-,Time commitment is too great,-,Other (please specify):,Housing for volunteers,No,Sometimes,Age: Older crew members retiring,Excessive time commitment or scheduling conflicts,-,Inadequate pay or benefits,-,Lack of recognition,-,Employer does not allow staff to leave work for a call,-,-,-,-,-,-,NA,No,No,Recruitment,Retention,-,-,-,-,Continuing education requirements for staff,Maintaining equipment,-,-,-,-,-,Maintaining updated technology,-,100%,-,-,-,-,-,-,-,-,-,Weekdays,-,-
636003203033624811,Central,"2,500 – 4,999","Public owned or operated (e.g. city, county authority or joint powers board)",Stand-alone city or county based ambulance service,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,-,-,-,-,NA,No,Unknown,No,Decreased,Yes,Somewhat,No,-,Lack of availability,Lack of trained candidates,-,-,-,-,-,-,Time commitment is too great,Childcare responsibilities,-,NA,Yes,Sometimes,-,Excessive time commitment or scheduling conflicts,Certification is too difficult to maintain,-,-,-,-,-,-,-,-,-,-,-,NA,No,No,Recruitment,-,-,-,Staffing the schedule,-,-,-,-,-,-,-,-,-,-,100%,Weekdays,-,-,-,-,-,-,-,-,Weekdays,-,-
635997159922109718,Northeast,"Less than 2,500","Public owned or operated (e.g. city, county authority or joint powers board)",Stand-alone city or county based ambulance service,NA,NA,NA,Yes,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,-,-,Other payment schedule (describe):,-,Paid to cover weekends (two shifts of 32 hours) and flat rate per run after work hours(4:30pm to 8:00am),Yes,Unknown,No,Decreased,No,Somewhat,Yes,-,-,-,-,-,-,-,-,-,Time commitment is too great,-,-,NA,No,Sometimes,Age: Older crew members retiring,Excessive time commitment or scheduling conflicts,-,-,-,-,Community is too isolated,-,-,-,-,-,-,-,NA,Yes,No,Recruitment,-,-,-,Staffing the schedule,-,-,-,-,-,-,-,-,-,-,75-99%,-,-,-,-,-,-,-,-,-,Weekdays,-,-
636017738838640508,Northeast,"5,000 – 9,999","Public owned or operated (e.g. city, county authority or joint powers board)",Fire department based,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,-,Staff are paid a flat rate per run,-,-,NA,Yes,Worse,No,Increased,No,Yes,Yes,Lack of interest,Lack of availability,Lack of trained candidates,-,Training programs are too expensive,Training programs are too far away,Inadequate pay or benefits,Too few runs or transports,-,Time commitment is too great,Childcare responsibilities,-,NA,Yes,Sometimes,Age: Older crew members retiring,Excessive time commitment or scheduling conflicts,-,Inadequate pay or benefits,-,-,-,Employer does not allow staff to leave work for a call,-,-,-,-,-,-,NA,No,No,Recruitment,-,Budget development,-,Staffing the schedule,-,-,-,-,-,-,-,Policy development and enforcement,Maintaining updated technology,-,75-99%,Weekdays,Weekends,Holidays,Weekdays,Weekends,Holidays,Weekdays,Weekends,Holidays,Weekdays,Weekends,Holidays
635997138594224602,Northeast,"Less than 2,500","Public owned or operated (e.g. city, county authority or joint powers board)",Fire department based,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,Staff are paid a stipend while on-call,-,-,-,-,NA,Yes,Worse,No,Decreased,No,Yes,Yes,-,-,-,-,-,-,-,-,-,Time commitment is too great,-,-,NA,No,Sometimes,Age: Older crew members retiring,Excessive time commitment or scheduling conflicts,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,No,Recruitment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75-99%,-,-,-,-,-,-,-,-,-,-,Weekends,Holidays
635997296149231566,Northeast,"Less than 2,500","Public owned or operated (e.g. city, county authority or joint powers board)",Fire department based,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,-,Staff are paid a flat rate per run,-,-,NA,Yes,Same,No,Decreased,No,Somewhat,Yes,Lack of interest,Lack of availability,Lack of trained candidates,-,-,Training programs are too far away,-,-,-,-,Childcare responsibilities,-,NA,Yes,Sometimes,Age: Older crew members retiring,Excessive time commitment or scheduling conflicts,-,-,-,-,-,Employer does not allow staff to leave work for a call,-,-,-,-,-,-,NA,No,No,-,Retention,Budget development,-,-,-,Continuing education requirements for staff,-,-,-,-,-,-,-,-,0-24%,-,Weekends,Holidays,-,Weekends,Holidays,-,-,Holidays,Weekdays,-,Holidays
636023875168763153,Northeast,"2,500 – 4,999","Public owned or operated (e.g. city, county authority or joint powers board)",Stand-alone city or county based ambulance service,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,Staff are paid by the hour on a run,-,-,-,NA,Yes,Better,No,Decreased,No,Yes,Yes,Lack of interest,-,-,Training programs are too time consuming,-,Training programs are too far away,Inadequate pay or benefits,-,-,-,Childcare responsibilities,-,NA,Yes,Sometimes,-,Excessive time commitment or scheduling conflicts,-,-,-,-,Community is too isolated,Employer does not allow staff to leave work for a call,-,-,-,-,-,-,NA,Yes,No,Recruitment,-,-,-,Staffing the schedule,-,Continuing education requirements for staff,-,Billing and reimbursement,-,-,-,-,-,-,75-99%,-,-,-,-,-,-,-,-,-,Weekdays,-,-
635986239592828714,Northeast,"10,000 – 14,999",Private or other non-profit owned or operated,NA,NA,For-profit / private company,NA,No,Basic life support,-,-,Specialized life support,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,Staff are paid a stipend while on-call,-,Staff are paid a flat rate per run,-,-,NA,Yes,Worse,Yes,Size of the active staff has not changed,Yes,Somewhat,Yes,Lack of interest,-,-,Training programs are too time consuming,-,-,-,-,-,Time commitment is too great,Childcare responsibilities,-,NA,Yes,Sometimes,Age: Older crew members retiring,-,Certification is too difficult to maintain,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None of the above,100%,-,-,-,-,-,-,-,-,-,-,-,-
635999872759907026,Northeast,NA,Private or other non-profit owned or operated,NA,NA,Non-profit,NA,Yes,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,-,Staff are paid a flat rate per run,-,-,NA,No,Unknown,No,Decreased,No,Somewhat,Yes,Lack of interest,Lack of availability,Lack of trained candidates,Training programs are too time consuming,-,-,-,-,-,Time commitment is too great,-,-,NA,Yes,Sometimes,-,Excessive time commitment or scheduling conflicts,-,-,-,-,Community is too isolated,-,-,-,-,-,-,-,NA,Yes,Yes,-,Retention,-,-,Staffing the schedule,-,-,-,-,-,-,-,-,-,-,50-74%,-,Weekends,-,-,Weekends,-,-,Weekends,-,-,Weekends,-
